CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households
30448,E01011521,Leeds 096B,Lower Super Output Areas and Data Zones,LSOADZ,908,153,402,289,45,19
30449,E01011522,Leeds 095B,Lower Super Output Areas and Data Zones,LSOADZ,589,60,263,218,36,12
30450,E01011523,Leeds 096C,Lower Super Output Areas and Data Zones,LSOADZ,771,205,317,207,32,10
30451,E01011524,Leeds 093B,Lower Super Output Areas and Data Zones,LSOADZ,540,82,280,143,31,4
30452,E01011525,Leeds 095C,Lower Super Output Areas and Data Zones,LSOADZ,702,144,363,172,16,7
30453,E01011526,Leeds 093C,Lower Super Output Areas and Data Zones,LSOADZ,489,27,206,206,43,7
30454,E01011527,Leeds 096D,Lower Super Output Areas and Data Zones,LSOADZ,772,83,359,263,55,12
30455,E01011528,Leeds 095D,Lower Super Output Areas and Data Zones,LSOADZ,622,62,261,235,51,13
30456,E01011529,Leeds 096E,Lower Super Output Areas and Data Zones,LSOADZ,580,124,265,158,25,8
30457,E01011530,Leeds 106A,Lower Super Output Areas and Data Zones,LSOADZ,651,103,329,186,28,5
30458,E01011531,Leeds 093D,Lower Super Output Areas and Data Zones,LSOADZ,676,141,340,169,19,7
30459,E01011532,Leeds 095E,Lower Super Output Areas and Data Zones,LSOADZ,710,279,295,115,17,4
30460,E01011533,Leeds 104A,Lower Super Output Areas and Data Zones,LSOADZ,687,229,324,120,10,4
30461,E01011534,Leeds 106B,Lower Super Output Areas and Data Zones,LSOADZ,684,164,343,146,26,5
30462,E01011535,Leeds 108A,Lower Super Output Areas and Data Zones,LSOADZ,658,73,233,282,47,23
30463,E01011536,Leeds 108B,Lower Super Output Areas and Data Zones,LSOADZ,660,93,273,234,47,13
30464,E01011537,Leeds 107A,Lower Super Output Areas and Data Zones,LSOADZ,947,176,471,235,50,15
30465,E01011538,Leeds 107B,Lower Super Output Areas and Data Zones,LSOADZ,662,168,304,162,21,7
30466,E01011540,Leeds 102B,Lower Super Output Areas and Data Zones,LSOADZ,641,270,261,93,13,4
30467,E01011541,Leeds 104B,Lower Super Output Areas and Data Zones,LSOADZ,1010,496,379,122,8,5
30468,E01011545,Leeds 104C,Lower Super Output Areas and Data Zones,LSOADZ,651,166,338,130,12,5
30469,E01011546,Leeds 106C,Lower Super Output Areas and Data Zones,LSOADZ,743,194,347,167,25,10
30470,E01011547,Leeds 104D,Lower Super Output Areas and Data Zones,LSOADZ,834,296,338,170,24,6
30471,E01011548,Leeds 106D,Lower Super Output Areas and Data Zones,LSOADZ,639,118,294,189,30,8
30472,E01011549,Leeds 108C,Lower Super Output Areas and Data Zones,LSOADZ,512,13,143,267,67,22
30473,E01011550,Leeds 106E,Lower Super Output Areas and Data Zones,LSOADZ,552,60,231,217,34,10
30474,E01011551,Leeds 107C,Lower Super Output Areas and Data Zones,LSOADZ,647,88,283,246,23,7
30475,E01011552,Leeds 107D,Lower Super Output Areas and Data Zones,LSOADZ,575,182,241,134,13,5
30476,E01011553,Leeds 108D,Lower Super Output Areas and Data Zones,LSOADZ,615,81,282,210,31,11
30477,E01011554,Leeds 012A,Lower Super Output Areas and Data Zones,LSOADZ,603,71,238,226,49,19
30478,E01011555,Leeds 018A,Lower Super Output Areas and Data Zones,LSOADZ,561,58,241,216,31,15
30479,E01011556,Leeds 015A,Lower Super Output Areas and Data Zones,LSOADZ,759,175,379,187,16,2
30480,E01011557,Leeds 015B,Lower Super Output Areas and Data Zones,LSOADZ,646,115,234,234,51,12
30481,E01011558,Leeds 018B,Lower Super Output Areas and Data Zones,LSOADZ,722,302,307,103,7,3
30482,E01011559,Leeds 018C,Lower Super Output Areas and Data Zones,LSOADZ,568,253,224,80,7,4
30483,E01011560,Leeds 018D,Lower Super Output Areas and Data Zones,LSOADZ,883,418,353,97,14,1
30484,E01011561,Leeds 006A,Lower Super Output Areas and Data Zones,LSOADZ,533,59,177,222,44,31
30485,E01011562,Leeds 012B,Lower Super Output Areas and Data Zones,LSOADZ,628,45,226,253,69,35
30486,E01011563,Leeds 012C,Lower Super Output Areas and Data Zones,LSOADZ,618,53,246,245,52,22
30487,E01011564,Leeds 012D,Lower Super Output Areas and Data Zones,LSOADZ,605,60,222,263,51,9
30488,E01011565,Leeds 015C,Lower Super Output Areas and Data Zones,LSOADZ,592,51,276,204,45,16
30489,E01011566,Leeds 015D,Lower Super Output Areas and Data Zones,LSOADZ,569,56,290,183,33,7
30490,E01011567,Leeds 012E,Lower Super Output Areas and Data Zones,LSOADZ,562,45,257,207,41,12
30491,E01011568,Leeds 015E,Lower Super Output Areas and Data Zones,LSOADZ,861,116,422,269,43,11
30492,E01011569,Leeds 004A,Lower Super Output Areas and Data Zones,LSOADZ,804,192,355,207,39,11
30493,E01011570,Leeds 007A,Lower Super Output Areas and Data Zones,LSOADZ,959,75,378,403,82,21
30494,E01011571,Leeds 004B,Lower Super Output Areas and Data Zones,LSOADZ,758,179,357,173,34,15
30495,E01011572,Leeds 004C,Lower Super Output Areas and Data Zones,LSOADZ,816,142,409,229,33,3
30496,E01011573,Leeds 004D,Lower Super Output Areas and Data Zones,LSOADZ,536,77,227,176,42,14
30497,E01011574,Leeds 004E,Lower Super Output Areas and Data Zones,LSOADZ,711,218,303,165,20,5
30498,E01011576,Leeds 007C,Lower Super Output Areas and Data Zones,LSOADZ,594,50,191,276,56,21
30499,E01011578,Leeds 011D,Lower Super Output Areas and Data Zones,LSOADZ,625,126,304,169,22,4
30500,E01011579,Leeds 014C,Lower Super Output Areas and Data Zones,LSOADZ,493,72,231,156,26,8
30501,E01011580,Leeds 014D,Lower Super Output Areas and Data Zones,LSOADZ,603,96,237,210,49,11
30502,E01011581,Leeds 003A,Lower Super Output Areas and Data Zones,LSOADZ,626,104,291,187,39,5
30503,E01011582,Leeds 003B,Lower Super Output Areas and Data Zones,LSOADZ,752,288,288,145,24,7
30504,E01011583,Leeds 003C,Lower Super Output Areas and Data Zones,LSOADZ,601,89,272,189,37,14
30505,E01011584,Leeds 003D,Lower Super Output Areas and Data Zones,LSOADZ,555,77,264,184,23,7
30506,E01011585,Leeds 062A,Lower Super Output Areas and Data Zones,LSOADZ,650,220,307,109,9,5
30507,E01011586,Leeds 066A,Lower Super Output Areas and Data Zones,LSOADZ,597,112,291,146,40,8
30508,E01011587,Leeds 062B,Lower Super Output Areas and Data Zones,LSOADZ,757,144,387,186,30,10
30509,E01011588,Leeds 039A,Lower Super Output Areas and Data Zones,LSOADZ,691,69,308,265,38,11
30510,E01011589,Leeds 039B,Lower Super Output Areas and Data Zones,LSOADZ,699,80,335,243,31,10
30511,E01011590,Leeds 039C,Lower Super Output Areas and Data Zones,LSOADZ,639,56,286,251,32,14
30512,E01011591,Leeds 052D,Lower Super Output Areas and Data Zones,LSOADZ,810,115,385,279,25,6
30513,E01011592,Leeds 039D,Lower Super Output Areas and Data Zones,LSOADZ,719,161,364,163,24,7
30514,E01011593,Leeds 039E,Lower Super Output Areas and Data Zones,LSOADZ,789,72,378,291,38,10
30515,E01011594,Leeds 062C,Lower Super Output Areas and Data Zones,LSOADZ,605,210,264,105,20,6
30516,E01011595,Leeds 066B,Lower Super Output Areas and Data Zones,LSOADZ,639,77,234,244,60,24
30517,E01011596,Leeds 062D,Lower Super Output Areas and Data Zones,LSOADZ,759,104,383,236,32,4
30518,E01011597,Leeds 066C,Lower Super Output Areas and Data Zones,LSOADZ,557,125,271,128,28,5
30519,E01011598,Leeds 062E,Lower Super Output Areas and Data Zones,LSOADZ,734,148,384,172,24,6
30520,E01011599,Leeds 066D,Lower Super Output Areas and Data Zones,LSOADZ,647,135,316,153,36,7
30521,E01011600,Leeds 079A,Lower Super Output Areas and Data Zones,LSOADZ,671,120,317,197,24,13
30522,E01011601,Leeds 079B,Lower Super Output Areas and Data Zones,LSOADZ,624,177,262,152,25,8
30523,E01011602,Leeds 076A,Lower Super Output Areas and Data Zones,LSOADZ,743,232,326,146,29,10
30524,E01011603,Leeds 076B,Lower Super Output Areas and Data Zones,LSOADZ,658,122,305,195,24,12
30525,E01011604,Leeds 079C,Lower Super Output Areas and Data Zones,LSOADZ,601,124,284,169,22,2
30526,E01011605,Leeds 076C,Lower Super Output Areas and Data Zones,LSOADZ,636,102,294,200,34,6
30527,E01011606,Leeds 076D,Lower Super Output Areas and Data Zones,LSOADZ,642,134,298,165,32,13
30528,E01011607,Leeds 079D,Lower Super Output Areas and Data Zones,LSOADZ,685,155,318,180,22,10
30529,E01011608,Leeds 068A,Lower Super Output Areas and Data Zones,LSOADZ,583,208,243,111,14,7
30530,E01011609,Leeds 068B,Lower Super Output Areas and Data Zones,LSOADZ,668,254,284,111,13,6
30531,E01011610,Leeds 068C,Lower Super Output Areas and Data Zones,LSOADZ,616,133,284,157,30,12
30532,E01011611,Leeds 068D,Lower Super Output Areas and Data Zones,LSOADZ,603,279,242,66,14,2
30533,E01011612,Leeds 079E,Lower Super Output Areas and Data Zones,LSOADZ,687,302,278,93,13,1
30534,E01011613,Leeds 076E,Lower Super Output Areas and Data Zones,LSOADZ,549,145,257,118,20,9
30535,E01011614,Leeds 068E,Lower Super Output Areas and Data Zones,LSOADZ,807,140,397,218,40,12
30536,E01011615,Leeds 070A,Lower Super Output Areas and Data Zones,LSOADZ,639,230,310,80,15,4
30537,E01011616,Leeds 072A,Lower Super Output Areas and Data Zones,LSOADZ,680,329,273,65,8,5
30538,E01011617,Leeds 070B,Lower Super Output Areas and Data Zones,LSOADZ,679,308,292,60,18,1
30539,E01011618,Leeds 070C,Lower Super Output Areas and Data Zones,LSOADZ,725,348,303,68,3,3
30540,E01011620,Leeds 072B,Lower Super Output Areas and Data Zones,LSOADZ,490,209,192,71,16,2
30541,E01011621,Leeds 070D,Lower Super Output Areas and Data Zones,LSOADZ,588,250,265,65,4,4
30542,E01011622,Leeds 072C,Lower Super Output Areas and Data Zones,LSOADZ,657,408,206,37,6,0
30543,E01011623,Leeds 075B,Lower Super Output Areas and Data Zones,LSOADZ,703,457,215,27,4,0
30544,E01011624,Leeds 072D,Lower Super Output Areas and Data Zones,LSOADZ,714,402,256,48,6,2
30545,E01011625,Leeds 075C,Lower Super Output Areas and Data Zones,LSOADZ,698,368,263,60,7,0
30546,E01011626,Leeds 075D,Lower Super Output Areas and Data Zones,LSOADZ,949,556,337,49,5,2
30547,E01011627,Leeds 098A,Lower Super Output Areas and Data Zones,LSOADZ,592,153,266,150,19,4
30548,E01011628,Leeds 098B,Lower Super Output Areas and Data Zones,LSOADZ,597,106,298,160,31,2
30549,E01011629,Leeds 098C,Lower Super Output Areas and Data Zones,LSOADZ,605,178,248,148,25,6
30550,E01011630,Leeds 100B,Lower Super Output Areas and Data Zones,LSOADZ,886,99,432,302,37,16
30551,E01011632,Leeds 098D,Lower Super Output Areas and Data Zones,LSOADZ,605,258,254,82,9,2
30552,E01011633,Leeds 098E,Lower Super Output Areas and Data Zones,LSOADZ,622,134,261,178,40,9
30553,E01011634,Leeds 100C,Lower Super Output Areas and Data Zones,LSOADZ,664,172,278,169,36,9
30554,E01011635,Leeds 097B,Lower Super Output Areas and Data Zones,LSOADZ,705,125,315,215,42,8
30555,E01011636,Leeds 100D,Lower Super Output Areas and Data Zones,LSOADZ,722,152,323,201,38,8
30556,E01011637,Leeds 097C,Lower Super Output Areas and Data Zones,LSOADZ,735,116,336,236,38,9
30557,E01011638,Leeds 097D,Lower Super Output Areas and Data Zones,LSOADZ,617,113,284,180,31,9
30558,E01011639,Leeds 100E,Lower Super Output Areas and Data Zones,LSOADZ,645,198,292,127,20,8
30559,E01011641,Leeds 032B,Lower Super Output Areas and Data Zones,LSOADZ,618,89,265,225,33,6
30560,E01011642,Leeds 032C,Lower Super Output Areas and Data Zones,LSOADZ,487,70,239,142,29,7
30561,E01011643,Leeds 037A,Lower Super Output Areas and Data Zones,LSOADZ,594,105,276,175,23,15
30562,E01011644,Leeds 037B,Lower Super Output Areas and Data Zones,LSOADZ,542,137,229,141,28,7
30563,E01011645,Leeds 032D,Lower Super Output Areas and Data Zones,LSOADZ,608,150,260,161,28,9
30564,E01011646,Leeds 037C,Lower Super Output Areas and Data Zones,LSOADZ,644,124,304,181,27,8
30565,E01011647,Leeds 037D,Lower Super Output Areas and Data Zones,LSOADZ,498,115,255,103,22,3
30566,E01011648,Leeds 037E,Lower Super Output Areas and Data Zones,LSOADZ,566,102,287,140,28,9
30567,E01011649,Leeds 022B,Lower Super Output Areas and Data Zones,LSOADZ,647,50,245,295,49,8
30568,E01011650,Leeds 020A,Lower Super Output Areas and Data Zones,LSOADZ,594,69,240,211,63,11
30569,E01011651,Leeds 020B,Lower Super Output Areas and Data Zones,LSOADZ,637,106,299,191,33,8
30570,E01011652,Leeds 024C,Lower Super Output Areas and Data Zones,LSOADZ,501,54,214,190,34,9
30571,E01011653,Leeds 020C,Lower Super Output Areas and Data Zones,LSOADZ,606,142,275,151,23,15
30572,E01011654,Leeds 024D,Lower Super Output Areas and Data Zones,LSOADZ,530,33,203,242,42,10
30573,E01011655,Leeds 020D,Lower Super Output Areas and Data Zones,LSOADZ,703,148,309,205,32,9
30574,E01011656,Leeds 035A,Lower Super Output Areas and Data Zones,LSOADZ,597,259,246,78,12,2
30575,E01011657,Leeds 035B,Lower Super Output Areas and Data Zones,LSOADZ,602,278,239,70,15,0
30576,E01011658,Leeds 040C,Lower Super Output Areas and Data Zones,LSOADZ,631,376,211,34,10,0
30577,E01011659,Leeds 035C,Lower Super Output Areas and Data Zones,LSOADZ,648,318,263,63,4,0
30578,E01011660,Leeds 040D,Lower Super Output Areas and Data Zones,LSOADZ,588,273,250,55,6,4
30579,E01011661,Leeds 035D,Lower Super Output Areas and Data Zones,LSOADZ,852,520,270,55,6,1
30580,E01011662,Leeds 040E,Lower Super Output Areas and Data Zones,LSOADZ,496,300,166,24,5,1
30581,E01011663,Leeds 050A,Lower Super Output Areas and Data Zones,LSOADZ,430,225,147,46,11,1
30582,E01011664,Leeds 050B,Lower Super Output Areas and Data Zones,LSOADZ,477,210,204,54,8,1
30583,E01011665,Leeds 050C,Lower Super Output Areas and Data Zones,LSOADZ,626,256,263,77,22,8
30584,E01011666,Leeds 061D,Lower Super Output Areas and Data Zones,LSOADZ,594,123,264,172,30,5
30585,E01011667,Leeds 050D,Lower Super Output Areas and Data Zones,LSOADZ,511,326,156,23,6,0
30586,E01011668,Leeds 110E,Lower Super Output Areas and Data Zones,LSOADZ,517,280,136,72,16,13
30587,E01011669,Leeds 110F,Lower Super Output Areas and Data Zones,LSOADZ,518,236,205,57,13,7
30588,E01011670,Leeds 055A,Lower Super Output Areas and Data Zones,LSOADZ,916,585,269,52,8,2
30589,E01011671,Leeds 055B,Lower Super Output Areas and Data Zones,LSOADZ,644,394,214,27,6,3
30590,E01011673,Leeds 064B,Lower Super Output Areas and Data Zones,LSOADZ,810,579,196,32,2,1
30591,E01011677,Leeds 064D,Lower Super Output Areas and Data Zones,LSOADZ,786,518,234,30,3,1
30592,E01011678,Leeds 063B,Lower Super Output Areas and Data Zones,LSOADZ,663,378,220,50,7,8
30593,E01011681,Leeds 063D,Lower Super Output Areas and Data Zones,LSOADZ,673,413,185,56,16,3
30594,E01011684,Leeds 019C,Lower Super Output Areas and Data Zones,LSOADZ,638,130,265,207,30,6
30595,E01011685,Leeds 109A,Lower Super Output Areas and Data Zones,LSOADZ,777,129,340,242,50,16
30596,E01011686,Leeds 033E,Lower Super Output Areas and Data Zones,LSOADZ,810,407,319,70,12,2
30597,E01011687,Leeds 109B,Lower Super Output Areas and Data Zones,LSOADZ,574,89,247,185,41,12
30598,E01011688,Leeds 031B,Lower Super Output Areas and Data Zones,LSOADZ,608,111,301,158,28,10
30599,E01011689,Leeds 031C,Lower Super Output Areas and Data Zones,LSOADZ,765,228,381,136,17,3
30600,E01011690,Leeds 109C,Lower Super Output Areas and Data Zones,LSOADZ,661,209,269,141,28,14
30601,E01011691,Leeds 031D,Lower Super Output Areas and Data Zones,LSOADZ,645,284,234,110,14,3
30602,E01011692,Leeds 109D,Lower Super Output Areas and Data Zones,LSOADZ,666,151,328,166,14,7
30603,E01011693,Leeds 109E,Lower Super Output Areas and Data Zones,LSOADZ,725,222,353,125,20,5
30604,E01011694,Leeds 109F,Lower Super Output Areas and Data Zones,LSOADZ,615,133,261,162,41,18
30605,E01011695,Leeds 019D,Lower Super Output Areas and Data Zones,LSOADZ,704,300,300,88,13,3
30606,E01011696,Leeds 006B,Lower Super Output Areas and Data Zones,LSOADZ,656,62,240,269,64,21
30607,E01011697,Leeds 002A,Lower Super Output Areas and Data Zones,LSOADZ,558,79,222,202,45,10
30608,E01011698,Leeds 001A,Lower Super Output Areas and Data Zones,LSOADZ,634,86,268,233,40,7
30609,E01011699,Leeds 001B,Lower Super Output Areas and Data Zones,LSOADZ,583,41,241,241,46,14
30610,E01011700,Leeds 002B,Lower Super Output Areas and Data Zones,LSOADZ,500,73,209,177,28,13
30611,E01011701,Leeds 001C,Lower Super Output Areas and Data Zones,LSOADZ,529,70,213,205,32,9
30612,E01011702,Leeds 001D,Lower Super Output Areas and Data Zones,LSOADZ,483,27,139,229,60,28
30613,E01011703,Leeds 001E,Lower Super Output Areas and Data Zones,LSOADZ,556,25,203,269,45,14
30614,E01011704,Leeds 002C,Lower Super Output Areas and Data Zones,LSOADZ,985,276,490,194,17,8
30615,E01011705,Leeds 002D,Lower Super Output Areas and Data Zones,LSOADZ,636,212,292,110,14,8
30616,E01011706,Leeds 006C,Lower Super Output Areas and Data Zones,LSOADZ,616,33,180,305,64,34
30617,E01011707,Leeds 005A,Lower Super Output Areas and Data Zones,LSOADZ,616,97,273,211,30,5
30618,E01011708,Leeds 006D,Lower Super Output Areas and Data Zones,LSOADZ,612,57,198,274,54,29
30619,E01011709,Leeds 005B,Lower Super Output Areas and Data Zones,LSOADZ,660,62,241,288,59,10
30620,E01011710,Leeds 005C,Lower Super Output Areas and Data Zones,LSOADZ,638,71,228,280,46,13
30621,E01011711,Leeds 005D,Lower Super Output Areas and Data Zones,LSOADZ,656,94,266,231,47,18
30622,E01011712,Leeds 005E,Lower Super Output Areas and Data Zones,LSOADZ,586,79,196,237,53,21
30623,E01011713,Leeds 006E,Lower Super Output Areas and Data Zones,LSOADZ,737,23,213,353,101,47
30624,E01011714,Leeds 029A,Lower Super Output Areas and Data Zones,LSOADZ,605,124,283,155,33,10
30625,E01011715,Leeds 022C,Lower Super Output Areas and Data Zones,LSOADZ,527,59,222,203,32,11
30626,E01011716,Leeds 029B,Lower Super Output Areas and Data Zones,LSOADZ,607,81,285,186,40,15
30627,E01011717,Leeds 029C,Lower Super Output Areas and Data Zones,LSOADZ,655,198,263,158,30,6
30628,E01011718,Leeds 029D,Lower Super Output Areas and Data Zones,LSOADZ,601,217,275,107,2,0
30629,E01011719,Leeds 022D,Lower Super Output Areas and Data Zones,LSOADZ,628,76,284,207,52,9
30630,E01011720,Leeds 029E,Lower Super Output Areas and Data Zones,LSOADZ,691,294,306,80,9,2
30631,E01011721,Leeds 041A,Lower Super Output Areas and Data Zones,LSOADZ,621,296,258,58,8,1
30632,E01011722,Leeds 041B,Lower Super Output Areas and Data Zones,LSOADZ,812,303,365,128,12,4
30633,E01011723,Leeds 041C,Lower Super Output Areas and Data Zones,LSOADZ,617,321,237,52,7,0
30634,E01011724,Leeds 041D,Lower Super Output Areas and Data Zones,LSOADZ,830,348,377,90,12,3
30635,E01011725,Leeds 078A,Lower Super Output Areas and Data Zones,LSOADZ,699,394,255,47,3,0
30636,E01011726,Leeds 080A,Lower Super Output Areas and Data Zones,LSOADZ,634,258,261,96,13,6
30637,E01011727,Leeds 080B,Lower Super Output Areas and Data Zones,LSOADZ,674,120,300,213,29,12
30638,E01011728,Leeds 080C,Lower Super Output Areas and Data Zones,LSOADZ,626,99,295,187,26,19
30639,E01011729,Leeds 078B,Lower Super Output Areas and Data Zones,LSOADZ,741,384,274,78,4,1
30640,E01011730,Leeds 078C,Lower Super Output Areas and Data Zones,LSOADZ,657,272,280,90,11,4
30641,E01011731,Leeds 081B,Lower Super Output Areas and Data Zones,LSOADZ,609,118,289,159,36,7
30642,E01011732,Leeds 081C,Lower Super Output Areas and Data Zones,LSOADZ,777,179,394,168,30,6
30643,E01011733,Leeds 081D,Lower Super Output Areas and Data Zones,LSOADZ,691,192,343,124,23,9
30644,E01011734,Leeds 083A,Lower Super Output Areas and Data Zones,LSOADZ,1011,165,511,270,43,22
30645,E01011735,Leeds 078D,Lower Super Output Areas and Data Zones,LSOADZ,738,343,307,76,9,3
30646,E01011736,Leeds 083B,Lower Super Output Areas and Data Zones,LSOADZ,648,143,317,157,25,6
30647,E01011737,Leeds 083C,Lower Super Output Areas and Data Zones,LSOADZ,760,339,311,101,9,0
30648,E01011738,Leeds 083D,Lower Super Output Areas and Data Zones,LSOADZ,632,124,268,199,32,9
30649,E01011739,Leeds 080D,Lower Super Output Areas and Data Zones,LSOADZ,699,309,304,70,14,2
50939,E01032487,Leeds 097F,Lower Super Output Areas and Data Zones,LSOADZ,448,152,205,79,10,2
50940,E01032488,Leeds 097G,Lower Super Output Areas and Data Zones,LSOADZ,735,79,300,285,51,20
50941,E01032489,Leeds 102F,Lower Super Output Areas and Data Zones,LSOADZ,894,238,457,171,22,6
50942,E01032490,Leeds 102G,Lower Super Output Areas and Data Zones,LSOADZ,570,53,278,212,19,8
50943,E01032491,Leeds 102H,Lower Super Output Areas and Data Zones,LSOADZ,489,41,215,205,24,4
50944,E01032492,Leeds 102I,Lower Super Output Areas and Data Zones,LSOADZ,997,458,408,122,9,0
50945,E01032493,Leeds 033F,Lower Super Output Areas and Data Zones,LSOADZ,619,124,316,148,25,6
50946,E01032494,Leeds 033G,Lower Super Output Areas and Data Zones,LSOADZ,716,312,294,92,14,4
50947,E01032495,Leeds 105E,Lower Super Output Areas and Data Zones,LSOADZ,922,150,387,346,38,1
50948,E01032496,Leeds 105F,Lower Super Output Areas and Data Zones,LSOADZ,878,115,423,290,47,3
50949,E01032497,Leeds 099E,Lower Super Output Areas and Data Zones,LSOADZ,640,322,244,62,8,4
50950,E01032498,Leeds 099F,Lower Super Output Areas and Data Zones,LSOADZ,697,205,319,141,25,7
50951,E01032499,Leeds 067G,Lower Super Output Areas and Data Zones,LSOADZ,702,125,336,184,45,12
50952,E01032500,Leeds 067H,Lower Super Output Areas and Data Zones,LSOADZ,568,319,190,46,7,6
50953,E01032501,Leeds 017E,Lower Super Output Areas and Data Zones,LSOADZ,498,78,228,164,22,6
50954,E01032502,Leeds 017F,Lower Super Output Areas and Data Zones,LSOADZ,801,279,387,110,19,6
50955,E01032503,Leeds 007E,Lower Super Output Areas and Data Zones,LSOADZ,600,31,225,257,64,23
50956,E01032504,Leeds 007F,Lower Super Output Areas and Data Zones,LSOADZ,673,65,231,309,49,19
51054,E01032606,Leeds 067I,Lower Super Output Areas and Data Zones,LSOADZ,906,304,422,147,27,6
51055,E01032607,Leeds 067J,Lower Super Output Areas and Data Zones,LSOADZ,547,239,229,67,11,1
51056,E01032608,Leeds 067K,Lower Super Output Areas and Data Zones,LSOADZ,500,179,218,92,9,2
51302,E01032876,Leeds 109G,Lower Super Output Areas and Data Zones,LSOADZ,533,84,213,178,41,17
51366,E01032945,Leeds 044F,Lower Super Output Areas and Data Zones,LSOADZ,848,257,318,150,69,54
51367,E01032946,Leeds 110G,Lower Super Output Areas and Data Zones,LSOADZ,778,341,279,120,22,16
51422,E01033002,Leeds 055F,Lower Super Output Areas and Data Zones,LSOADZ,761,537,201,22,0,1
51423,E01033003,Leeds 055G,Lower Super Output Areas and Data Zones,LSOADZ,1109,794,289,20,4,2
51424,E01033005,Leeds 055H,Lower Super Output Areas and Data Zones,LSOADZ,876,589,215,58,10,4
51425,E01033006,Leeds 063E,Lower Super Output Areas and Data Zones,LSOADZ,1016,690,243,57,10,16
51426,E01033008,Leeds 111A,Lower Super Output Areas and Data Zones,LSOADZ,704,386,278,39,1,0
51427,E01033010,Leeds 111B,Lower Super Output Areas and Data Zones,LSOADZ,690,483,182,22,3,0
51428,E01033011,Leeds 111C,Lower Super Output Areas and Data Zones,LSOADZ,761,453,268,31,7,2
51429,E01033013,Leeds 082E,Lower Super Output Areas and Data Zones,LSOADZ,647,380,223,43,1,0
51430,E01033015,Leeds 111D,Lower Super Output Areas and Data Zones,LSOADZ,705,329,314,58,4,0
51431,E01033016,Leeds 111E,Lower Super Output Areas and Data Zones,LSOADZ,709,382,279,43,4,1
51432,E01033018,Leeds 112D,Lower Super Output Areas and Data Zones,LSOADZ,729,449,226,53,1,0
51433,E01033019,Leeds 112E,Lower Super Output Areas and Data Zones,LSOADZ,766,401,309,53,3,0
51434,E01033021,Leeds 075E,Lower Super Output Areas and Data Zones,LSOADZ,697,430,235,31,1,0
51444,E01033031,Leeds 064E,Lower Super Output Areas and Data Zones,LSOADZ,782,533,232,15,2,0
51445,E01033032,Leeds 082F,Lower Super Output Areas and Data Zones,LSOADZ,789,400,331,53,5,0
51446,E01033033,Leeds 075F,Lower Super Output Areas and Data Zones,LSOADZ,740,460,241,37,2,0
51447,E01033034,Leeds 075G,Lower Super Output Areas and Data Zones,LSOADZ,645,320,269,54,2,0
51448,E01033035,Leeds 064F,Lower Super Output Areas and Data Zones,LSOADZ,752,517,211,18,4,2
